"SeqName"	"Description.x"	"log2FoldChange.x"	"log2FoldChange.y"
"TRINITY_DN25126_c0_g1_i2.p1"	"XP_020147601.1 calcineurin B-like protein 4"	8.45049983	8.465114082
"TRINITY_DN139910_c0_g1_i1.p1"	"XP_020192618.1 cysteine proteinase RD21A-like isoform X4"	8.427273079	4.91401415
"TRINITY_DN14541_c0_g1_i1.p1"	"PNT76116.1 hypothetical protein BRADI_1g44297v3"	8.385255625	6.242641985
"TRINITY_DN22336_c0_g1_i2.p3"	"XP_020165010.1 skin secretory protein xP2-like"	8.359028724	9.064597765
"TRINITY_DN23435_c0_g1_i2.p2"	"XP_003574533.1 putrescine hydroxycinnamoyltransferase 1"	8.293427679	-9.075808431
"TRINITY_DN153103_c0_g1_i1.p1"	"XP_015634325.1 23 kDa jasmonate-induced protein"	8.173477519	-8.796946951
"TRINITY_DN75541_c0_g1_i1.p1"	"BAH91535.1  Os02g0153300"	8.137645768	-6.053477326
"TRINITY_DN26008_c0_g1_i1.p1"	"XP_010238541.1 U-box domain-containing protein 33 isoform X2"	8.118679724	4.958179748
"TRINITY_DN65620_c0_g3_i1.p2"	"OEL36684.1 hypothetical protein BAE44_0002297"	7.791719247	6.091708293
"TRINITY_DN107671_c0_g2_i1.p1"	"VAI80232.1 unnamed protein product"	6.912119944	9.049511133
"TRINITY_DN1332_c1_g1_i1.p1"	"XP_006648837.1 PREDICTED: uncharacterized protein At4g06744-like"	6.803885826	8.399375461
"TRINITY_DN26631_c0_g1_i3.p1"	"XP_020177949.1 uncharacterized protein LOC109763512"	6.736604281	8.21642619
"TRINITY_DN24001_c0_g1_i1.p1"	"XP_020197063.1 uncharacterized protein LOC109782848"	6.558632067	8.802013655
"TRINITY_DN24001_c0_g2_i2.p1"	"BAH79979.1 putative unclassified retrotransposon protein"	6.534462548	6.241943558
"TRINITY_DN11366_c0_g1_i1.p1"	"GAX73631.1 hypothetical protein CEUSTIGMA_g1082.t1"	6.35201144	5.995559748
"TRINITY_DN8007_c0_g1_i3.p1"	"PWZ37494.1 Zinc finger MYM-type protein 1"	6.338345474	-6.804161095
"TRINITY_DN46816_c0_g1_i1.p2"	"TVU16484.1 hypothetical protein EJB05_40052, partial"	6.281354343	8.368302109
"TRINITY_DN94948_c0_g2_i1.p1"	"XP_020268671.1 uncharacterized protein LOC109844068"	6.232090063	8.276773157
"TRINITY_DN32648_c0_g1_i1.p1"	"KAE8809058.1 hypothetical protein D1007_14496"	6.193937872	5.900103994
"TRINITY_DN28545_c0_g1_i2.p1"	"TVU37678.1 hypothetical protein EJB05_11006, partial"	6.126700212	5.917604476
"TRINITY_DN111966_c0_g1_i1.p1"	"VAH95751.1 unnamed protein product"	6.118067649	-7.19534118
"TRINITY_DN34104_c1_g2_i2.p1"	"TVU29235.1 hypothetical protein EJB05_20793, partial"	6.056490093	5.823799831
"TRINITY_DN15918_c0_g1_i1.p1"	"VAI54183.1 unnamed protein product"	5.947137729	5.938411223
"TRINITY_DN64885_c0_g1_i1.p3"	"BAK05156.1 predicted protein"	5.871356793	-8.947710719
"TRINITY_DN33635_c1_g2_i1.p2"	"RLM60744.1 putative acetyltransferase"	5.857154241	5.942659737
"TRINITY_DN60314_c0_g1_i2.p1"	"XP_004968822.1 kinesin-like protein KIN-7A"	5.819047583	-8.903859131
"TRINITY_DN32372_c0_g1_i1.p1"	"VAH47927.1 unnamed protein product"	5.724226341	4.503445304
"TRINITY_DN72323_c0_g1_i1.p1"	"TVU26398.1 hypothetical protein EJB05_28943, partial"	5.712752499	9.097885943
"TRINITY_DN29963_c0_g3_i1.p1"	"BAA78582.1 ribulose-bisphosphate carboxylase small chain precursor"	5.428022617	4.40240199
"TRINITY_DN5533_c1_g1_i1.p1"	"XP_020151598.1 putative receptor-like protein kinase At4g00960"	5.265594103	7.509082571
"TRINITY_DN137073_c0_g1_i1.p1"	"KAE8771802.1 hypothetical protein D1007_56249"	5.247470417	6.248596608
"TRINITY_DN40473_c0_g2_i1.p1"	"BAJ88060.1  predicted protein"	5.247243481	6.03555962
"TRINITY_DN22887_c0_g1_i11.p1"	"XP_021311061.1 sphingosine kinase 2 isoform X1"	4.805153957	6.281307108
"TRINITY_DN1140_c1_g1_i11.p1"	"ACN35390.1 unknown"	4.803601069	6.314347434
"TRINITY_DN64866_c0_g1_i1.p1"	"RLM69625.1 putative polyprotein"	4.612877854	8.082532401
"TRINITY_DN120177_c0_g1_i1.p1"	"EMS61405.1 3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase"	4.583780326	-7.991706619
"TRINITY_DN51333_c0_g4_i1.p3"	"XP_020169825.1 protein FAR1-RELATED SEQUENCE 5-like"	4.575106925	6.246370324
"TRINITY_DN98158_c0_g1_i2.p1"	"PNT71415.1 hypothetical protein BRADI_2g27174v3"	4.240953798	6.082300501
"TRINITY_DN127335_c0_g2_i1.p1"	"XP_020177129.1 uncharacterized protein LOC109762673, partial"	4.170597598	7.13234802
"TRINITY_DN381_c0_g1_i12.p1"	"XP_003580235.2 elongation factor G-2, chloroplastic"	2.066410058	-2.220229706
"TRINITY_DN3259_c0_g1_i16.p3"	"VAH78088.1 unnamed protein product"	-2.341482684	-2.452982225
"TRINITY_DN1899_c0_g1_i4.p1"	"XP_003577645.1 ankyrin repeat protein SKIP35 isoform X1"	-2.743840062	-2.494777388
"TRINITY_DN83778_c0_g1_i1.p2"	"CDM84446.1 unnamed protein product"	-4.257985748	5.993672829
"TRINITY_DN83008_c1_g1_i1.p1"	"VAH08510.1 unnamed protein product"	-4.607587383	-8.683553683
"TRINITY_DN70777_c0_g1_i1.p1"	"XP_020174301.1 uncharacterized protein LOC109759874"	-5.222678254	8.401957901
"TRINITY_DN141911_c0_g1_i1.p1"	"KAB8115294.1 hypothetical protein EE612_055616"	-5.283008577	-9.220953135
"TRINITY_DN79097_c0_g2_i1.p2"	"VAH91109.1 unnamed protein product"	-6.036997855	-8.658292774
"TRINITY_DN126426_c0_g1_i2.p1"	"SPT19944.1 unnamed protein product"	-6.044851164	8.670670731
"TRINITY_DN149156_c0_g1_i1.p1"	"XP_020154761.1 protein MIZU-KUSSEI 1"	-6.127777211	6.033821305
"TRINITY_DN113207_c0_g1_i1.p1"	"VAI14187.1 unnamed protein product"	-6.158824374	-8.992005706
"TRINITY_DN54855_c0_g1_i2.p1"	"XP_020169611.1 uncharacterized protein LOC109755136"	-6.190085278	7.683301363
"TRINITY_DN64065_c0_g1_i1.p1"	"EMS52275.1 Flavin-containing monooxygenase YUCCA2"	-6.215355767	5.741125347
"TRINITY_DN85336_c0_g4_i1.p1"	"VAI06272.1 unnamed protein product"	-6.291760693	7.744618066
"TRINITY_DN146053_c0_g1_i1.p1"	"VAI37429.1 unnamed protein product"	-6.346285219	5.261190121
"TRINITY_DN120362_c0_g1_i1.p1"	"XP_020151703.1 protein timeless homolog isoform X2"	-6.368533749	-6.076495368
"TRINITY_DN130409_c0_g1_i1.p1"	"XP_010240647.2 uncharacterized protein LOC104585472"	-6.370609981	-8.574991879
"TRINITY_DN16781_c0_g1_i1.p2"	"KQJ95820.1 hypothetical protein BRADI_3g19227v3"	-7.894516706	6.067855051
"TRINITY_DN37632_c0_g1_i1.p1"	"KAE8796689.1 Nitrate transporter"	-7.901224684	-5.873860901
"TRINITY_DN40426_c0_g1_i1.p2"	"XP_003571601.1 early nodulin-like protein 3"	-8.178143582	-9.497572439
"TRINITY_DN131066_c0_g1_i1.p2"	"BAJ86884.1 predicted protein"	-8.199165644	-8.243355912
"TRINITY_DN62440_c1_g1_i1.p1"	"VAI93163.1 unnamed protein product"	-8.391093597	5.901279037
"TRINITY_DN27240_c0_g5_i1.p1"	"VAI37429.1 unnamed protein product"	-8.549829885	6.673100618
"TRINITY_DN153942_c0_g1_i1.p1"	"XP_020190909.1 protein FAR1-RELATED SEQUENCE 5-like isoform X2"	-8.554959912	-6.263943134
"TRINITY_DN78624_c0_g1_i1.p1"	"XP_003569117.1 putative disease resistance RPP13-like protein 3"	-8.586361355	9.35898048
"TRINITY_DN43291_c0_g4_i1.p1"	"CAE05600.2  OSJNBa0054D14.1 "	-8.586626236	-8.558662269
"TRINITY_DN141559_c0_g1_i1.p1"	"AAT85194.1 putative polyprotein"	-8.594778521	5.72430293
"TRINITY_DN29094_c0_g1_i1.p1"	"PNT74805.1 hypothetical protein BRADI_1g22200v3"	-8.820224339	-9.994776023
"TRINITY_DN56146_c0_g2_i3.p1"	"SPT21139.1 unnamed protein product"	-8.826102038	5.950155709
"TRINITY_DN76038_c0_g2_i1.p1"	"XP_020156381.1 F-box protein At5g07610-like"	-8.913540116	-6.115193298
"TRINITY_DN53282_c0_g1_i5.p1"	"VAH72161.1 unnamed protein product"	-8.952371508	-8.671264806
"TRINITY_DN106926_c0_g1_i1.p1"	"XP_010233762.1 short-chain dehydrogenase/reductase 2b"	-9.105328572	-9.046702978
"TRINITY_DN38730_c0_g1_i2.p1"	"ABA98728.2 retrotransposon protein, putative, Ty1-copia subclass"	-9.15778257	6.244958084
"TRINITY_DN44904_c2_g1_i6.p1"	"TVU39846.1 hypothetical protein EJB05_13289, partial"	-9.320512874	6.930582656
"TRINITY_DN97360_c0_g1_i1.p1"	"KAE8782662.1 hypothetical protein D1007_43931"	-9.409637451	-9.564374162
"TRINITY_DN99537_c0_g3_i1.p1"	"VAH20483.1 unnamed protein product"	-9.56981355	7.780403702
"TRINITY_DN18571_c0_g1_i1.p1"	"AAP53939.1 retrotransposon protein, putative, unclassified"	-9.750781836	-9.68002604
